"Date: 2026-07-22+0000"
"Version: 7.2"
"Status: 
0 Normal
"","🏠Personal","Move team website to different domain/folderp","TEXT","","","N","","","","","3","2","2025-11-01T14:09:20+0000","2025-12-09T20:35:23+0000","-8796093022208","America/New_York","false","false","misc","1649267441664","list","105","","TASK"
"","🏠Personal","Add the Vite-Perlite site to portfolio ","TEXT","","","N","","","","","0","2","2025-11-01T13:59:13+0000","2025-12-17T20:40:04+0000","-6597069766656","America/New_York","false","false",,,"list","106","","TASK"
"","🏠Personal","Make cost4Equality function for the portfolio ","TEXT","","","N","2025-12-09T00:00:00+0000","2025-12-09T00:00:00+0000","PT0S","","5","2","2025-09-06T13:08:22+0000","2025-12-04T21:48:27+0000","-6047313952768","America/New_York","false","false","misc","1649267441664","list","107","","TASK"
"","🏠Personal","Some sort of machine learning practice","TEXT","","","N","","","","","3","2","2025-09-08T12:52:59+0000","2026-05-14T12:58:35+0000","-3298534883328","America/New_York","false","false","misc","1649267441664","list","108","","TASK"
"","🏠Personal","Add photos to linked in about Health app and what not","TEXT","","","N","2025-11-08T00:00:00+0000","2025-11-08T00:00:00+0000","PT0S","","3","2","2025-11-01T14:13:33+0000","2025-11-08T17:03:25+0000","-2748779069440","America/New_York","false","false","misc","1649267441664","list","109","","TASK"
"","🏠Personal","Send dad $200 for insurance","TEXT","","","N","2026-07-20T04:00:00+0000","2026-07-20T04:00:00+0000","","","0","2","2026-07-18T19:58:25+0000","2026-07-20T18:51:12+0000","-2199023255552","America/New_York","true","false","misc","1649267441664","list","110","","TASK"
"","🏠Personal","Add the CS two project to the portfolio website, and make sure that the link is fixed.","TEXT","","","N","","","","","0","2","2026-07-13T17:48:47+0000","2026-07-13T22:15:16+0000","-2199023255552","America/New_York","false","false",,,"list","111","","TASK"
"","🏠Personal","Renew max bundle on the  or 25th to card","TEXT","","","N","2026-07-24T04:00:00+0000","2026-07-24T04:00:00+0000","","","0","0","2026-07-18T14:57:35+0000","","-1649267441664","America/New_York","true","false","misc","1649267441664","list","112","","TASK"
"","🏠Personal","Also take a look at the Quartz website. Figure out why it crashed or something  need a reset.","TEXT","","","N","2026-07-13T23:30:00+0000","2026-07-13T23:30:00+0000","PT0S","","0","2","2026-07-13T17:35:34+0000","2026-07-14T14:21:33+0000","-1649267441664","America/New_York","false","false",,,"list","113","","TASK"
"","🏠Personal","Search up some date restaurants","TEXT","","","N","2026-07-07T14:00:00+0000","2026-07-07T14:00:00+0000","PT0S","","0","2","2026-07-07T11:47:36+0000","2026-07-07T15:38:12+0000","-1649267441664","America/New_York","false","false","misc","1649267441664","list","114","","TASK"
"","🏠Personal","Diegos birthday  at Senor Tequilas","TEXT","","","N","2026-05-22T04:00:00+0000","2026-05-22T04:00:00+0000","","","0","2","2026-05-19T21:59:52+0000","2026-05-22T16:38:31+0000","-1649267441664","America/New_York","true","false","misc","1649267441664","list","115","","TASK"
"","🏠Personal","Look into sunflower festival thing that's in Elicot city ","TEXT","","https://clarksvillesunflowermarket.com/","N","2026-07-22T20:00:00+0000","2026-07-22T20:00:00+0000","PT0S","","0","2","2026-07-17T20:58:19+0000","2026-07-22T18:13:15+0000","-1099511627776","America/New_York","false","false","misc","1649267441664","list","116","","TASK"
"","🏠Personal","Reply to Sergio. Write a message saying something like, ""Hey Sergio, thanks for the feedback. Made the change that you were referring to in the message, and I took a look at the job posting and I am i","TEXT","","Reply to Sergio. Write a message saying something like, ""Hey Sergio, thanks for the feedback. Made the change that you were referring to in the message, and I took a look at the job posting and I am interested in this position. How do we move forward from here? Something like that.""","N","","","","","0","2","2026-07-13T17:35:09+0000","2026-07-13T22:15:18+0000","-1099511627776","America/New_York","false","false",,,"list","117","","TASK"
"","🏠Personal","Follow up with Sergio ","TEXT","","","N","2026-07-07T13:30:00+0000","2026-07-07T13:30:00+0000","PT0S","","0","2","2026-07-06T16:26:43+0000","2026-07-07T13:56:51+0000","-1099511627776","America/New_York","false","false","misc","1649267441664","list","118","","TASK"
"","🏠Personal","Take out room trash ","TEXT","","","N","2026-05-21T01:30:00+0000","2026-05-21T01:30:00+0000","PT0S","","0","2","2026-05-19T20:54:07+0000","2026-05-22T01:02:03+0000","-1099511627776","America/New_York","false","false","misc","1649267441664","list","119","","TASK"
"","🏠Personal","Kayas nail appointments","TEXT","","Make an appointment try with jeannete firstCheck to see if appointment should be scheduled ","N","2026-07-27T19:00:00+0000","2026-07-27T19:00:00+0000","PT0S","FREQ=WEEKLY;WKST=SU;INTERVAL=2","0","0","2026-05-18T22:38:44+0000","","-549755813888","America/New_York","false","false","misc","1649267441664","list","120","","TASK"
"","🏠Personal","Get modal to close automatically when clicked off ","TEXT","","A","N","","","","","1","2","2025-09-06T13:08:01+0000","2025-11-01T13:52:03+0000","-549755813888","America/New_York","false","false",,,"list","121","","TASK"
"","🏠Personal","Kayas nail appointments","TEXT","","Make an appointment try with jeannete firstCheck to see if appointment should be scheduled ","N","2026-07-11T19:00:00+0000","2026-07-11T19:00:00+0000","PT0S","","0","2","2026-05-18T22:38:44+0000","2026-07-13T17:34:05+0000","1","America/New_York","false","false","misc","1649267441664","list","122","","TASK"
"","🏠Personal","Kayas nail appointments [🏠Personal.md](obsidian://open?vault=Whendeez&file=%F0%9F%8F%A0Personal.md)","TEXT","ticktick","Make an appointment try with jeannete firstCheck to see if appointment should be scheduled ","N","2026-07-03T19:00:00+0000","2026-07-03T19:00:00+0000","PT0S","","0","2","2026-05-18T22:38:44+0000","2026-07-07T16:21:05+0000","1","America/New_York","false","false","misc","1649267441664","list","123","","TASK"
"","🏠Personal","Kayas nail appointments ","TEXT","","Make an appointment try with jeannete firstCheck to see if appointment should be scheduled ","N","2026-06-19T19:00:00+0000","2026-06-19T19:00:00+0000","PT0S","","0","2","2026-05-18T22:38:44+0000","2026-06-19T19:08:07+0000","1","America/New_York","false","false","misc","1649267441664","list","124","","TASK"
"","🏠Personal","Kayas nail appointments ","TEXT","","","N","2026-06-06T19:00:00+0000","2026-06-06T19:00:00+0000","PT0S","","0","2","2026-05-18T22:38:44+0000","2026-05-26T21:57:26+0000","1","America/New_York","false","false","misc","1649267441664","list","125","","TASK"
"","🏠Personal","Kayas nail appointments ","TEXT","","","N","2026-05-23T19:00:00+0000","2026-05-23T19:00:00+0000","PT0S","","0","2","2026-05-18T22:38:44+0000","2026-05-23T19:15:13+0000","1","America/New_York","false","false","misc","1649267441664","list","126","","TASK"
"","📦Shopping","new bracelet for amor","TEXT","","","N","","","","","0","0","2026-07-13T18:13:56+0000","2026-07-13T22:15:17+0000","-2199023255552","America/New_York","false","false",,,"list","127","","TASK"
"","📦Shopping","Buy a ruler for the light thing ","TEXT","","Maybe a metal rod or something. ","N","2026-07-07T13:30:00+0000","2026-07-07T13:30:00+0000","PT0S","","0","2","2026-07-07T11:38:14+0000","2026-07-07T14:21:25+0000","-2199023255552","America/New_York","false","false","misc","1649267441664","list","128","","TASK"
"","📦Shopping","pick up flowers","TEXT","","","N","2026-07-02T04:00:00+0000","2026-07-02T04:00:00+0000","","","0","2","2026-07-01T22:03:06+0000","2026-07-03T00:13:39+0000","-2199023255552","America/New_York","true","false",,,"list","129","","TASK"
"","📦Shopping","Buy infused ground bud from Columbia ","TEXT","","","N","2026-06-16T20:30:00+0000","2026-06-16T20:30:00+0000","PT0S","","0","2","2026-06-15T22:18:35+0000","2026-06-17T21:41:39+0000","-2199023255552","America/New_York","false","false",,,"list","130","","TASK"
"","📦Shopping","Buy Aceton/nail polish remover to try and clean Kayas shoes [📦Shopping.md](obsidian://open?vault=Whendeez&file=%F0%9F%93%A6Shopping.md)","TEXT","","","N","","","","","0","0","2026-05-19T22:05:08+0000","","-1649267441664","America/New_York","false","false",,,"list","131","","TASK"
"","📦Shopping","Desk chair mat","TEXT","","","N","","","","","0","2","2026-05-19T14:56:46+0000","2026-06-10T03:23:36+0000","-1099511627776","America/New_York","false","false",,,"list","132","","TASK"
"","📦Shopping","Look into getting a better window screen [📦Shopping.md](obsidian://open?vault=Whendeez&file=%F0%9F%93%A6Shopping.md)","TEXT","","Like where the fans is broski ","N","","","","","0","0","2026-05-19T14:56:32+0000","","-549755813888","America/New_York","false","false",,,"list","133","","TASK"
"","Inbox","Set up Firestock and remove mix","TEXT","","","N","2025-11-24T05:00:00+0000","2025-11-24T05:00:00+0000","","","0","2","2025-11-24T14:25:01+0000","2025-11-25T03:56:21+0000","-3298534883328","America/New_York","true","false",,,"list","134","","TASK"
"","Inbox","Fix make it so that the cover on the base is work for links not just local files","TEXT","","![file](69a6ea99e9dc515ba9261672/2026-03-03%2009:05)","N","2026-03-04T05:00:00+0000","2026-03-04T05:00:00+0000","","","0","2","2026-03-03T14:05:13+0000","2026-03-04T18:23:13+0000","-2748779069440","America/New_York","true","false",,,"list","135","","TASK"
"","Inbox","Put laundry away ","TEXT","","","N","2025-11-24T05:00:00+0000","2025-11-24T05:00:00+0000","","","0","2","2025-11-24T14:23:56+0000","2025-11-25T00:17:29+0000","-2748779069440","America/New_York","true","false",,,"list","136","","TASK"
"","Inbox","Help find Kaya some extra nail design","TEXT","","","N","2026-03-04T05:00:00+0000","2026-03-04T05:00:00+0000","","","0","2","2026-03-03T14:04:53+0000","2026-03-06T03:34:12+0000","-2199023255552","America/New_York","true","false",,,"list","137","","TASK"
"","Inbox","Take out Trash","TEXT","","","N","2025-11-24T05:00:00+0000","2025-11-24T05:00:00+0000","","","0","2","2025-11-24T14:23:34+0000","2025-11-25T00:17:31+0000","-2199023255552","America/New_York","true","false",,,"list","138","","TASK"
"","Inbox","Look up Apache fallback resource and set up down for maintenance ","TEXT","","","N","2026-03-03T05:00:00+0000","2026-03-03T05:00:00+0000","","","3","2","2026-02-27T14:03:15+0000","2026-03-04T00:30:16+0000","-1649267441664","America/New_York","true","false",,,"list","139","","TASK"
"","Inbox","Make the allergies become text boxes ","CHECKLIST","","▪Change it from select to labels and inputs▪Add JavaScript to make the options scrollable and intuitive","Y","","","","","5","2","2026-01-26T01:33:41+0000","2026-01-28T23:08:49+0000","-1649267441664","America/New_York","false","false",,,"list","140","","TASK"
"","Inbox","Finish laundry","TEXT","","","N","2025-11-24T05:00:00+0000","2025-11-24T05:00:00+0000","","","0","2","2025-11-24T14:23:21+0000","2025-11-24T19:10:07+0000","-1649267441664","America/New_York","true","false",,,"list","141","","TASK"
"","Inbox","Apply to 5-10 more jobs ","TEXT","","","N","2025-11-17T16:00:00+0000","2025-11-17T16:00:00+0000","PT0S","","1","2","2025-11-17T14:32:46+0000","2025-11-17T17:36:28+0000","-1649267441664","America/New_York","false","false",,,"list","142","","TASK"
"","Inbox","Make a copy of house key ","TEXT","","","N","2026-02-27T22:30:00+0000","2026-02-27T22:30:00+0000","PT0S","","0","2","2026-02-27T14:00:57+0000","2026-02-28T00:03:05+0000","-1099511627776","America/New_York","false","false",,,"list","143","","TASK"
"","Inbox","Redo the habits ","CHECKLIST","","▫Probably rethink the habits▫Replace exercise with more meaningful ting ","Y","2026-02-26T05:00:00+0000","2026-02-26T05:00:00+0000","","","0","2","2026-02-26T12:32:16+0000","2026-02-27T00:57:19+0000","-1099511627776","America/New_York","true","false",,,"list","144","","TASK"
"","Inbox","Get things","CHECKLIST","","▫Eggs▫Tea▫Juice▫","Y","2026-02-16T05:00:00+0000","2026-02-16T05:00:00+0000","","","0","2","2026-02-16T16:02:20+0000","2026-02-16T23:29:15+0000","-1099511627776","America/New_York","true","false",,,"list","145","","TASK"
"","Inbox","Get Valentines Items","CHECKLIST","","▪Triple Sec▪small Tequila▪Vodka▪Moscato?▪Sugar Syrup▪Strawberries▪Flowers▪Chambord","Y","2026-02-14T18:00:00+0000","2026-02-14T19:00:00+0000","PT0S","","0","2","2026-02-13T14:56:29+0000","2026-02-14T19:11:34+0000","-1099511627776","America/New_York","false","false",,,"list","146","","TASK"
"","Inbox","So the bases work like this there will be views in each view can have their own custom filter and that shouldn't be too hard to actually handle the global filter requires a check at the very beginning","TEXT","","So the bases work like this there will be views in each view can have their own custom filter and that shouldn't be too hard to actually handle the global filter requires a check at the very beginning I believe and then once the views are being processed, it's gonna need a check to see if it had been parsed already you know![file](69617b565aa091bbe6c6d6cb/2026-01-09%2017:04)","N","2026-01-09T05:00:00+0000","2026-01-09T05:00:00+0000","","","0","2","2026-01-09T22:04:06+0000","2026-01-10T23:33:24+0000","-1099511627776","America/New_York","true","false",,,"list","147","","TASK"
"","Inbox","Figure out why the portfolio does not load anymore","TEXT","","","N","2025-12-02T00:00:00+0000","2025-12-02T00:00:00+0000","PT0S","","5","2","2025-11-20T18:59:52+0000","2025-12-01T19:15:14+0000","-1099511627776","America/New_York","false","false",,,"list","148","","TASK"
"","Inbox","Clean bong ","TEXT","","","N","2025-11-17T22:00:00+0000","2025-11-17T22:00:00+0000","PT0S","","0","2","2025-11-17T14:29:59+0000","2025-11-17T23:45:18+0000","-1099511627776","America/New_York","false","false",,,"list","149","","TASK"
"","Inbox","Have search work with drink ingredients ","TEXT","","","N","","","","","5","2","2025-11-12T15:51:32+0000","2025-11-12T16:17:37+0000","-1099511627776","America/New_York","false","false",,,"list","150","","TASK"
"","Inbox","Make the search bar appear from bottom and make it show up on inventory","TEXT","","","N","2025-11-12T00:00:00+0000","2025-11-12T00:00:00+0000","PT0S","","5","2","2025-11-10T19:00:08+0000","2025-11-11T23:41:22+0000","-1099511627776","America/New_York","false","false",,,"list","151","","TASK"
"","Inbox","Learn Golang, make a project with it ","TEXT","","","N","","","","","5","2","2025-11-07T18:55:33+0000","2026-05-14T12:58:33+0000","-549755813888","America/New_York","false","false",,,"list","152","","TASK"
"","Inbox","🍅 Pomo: Beat procrastination","TEXT","","If you struggle with procrastination, try the Pomodoro to accomplish more goals.![file](https://pull.ticktick.com/common/user_guide/en/pomodoro.mp4)","N","","","","","0","2","2025-09-06T11:57:43+0000","2025-09-06T13:02:43+0000","-549755813888","Asia/Shanghai","false","false",,,"list","153","","TASK"
"","Inbox","Find therapist","TEXT","","","N","2026-01-27T16:00:00+0000","2026-01-27T16:00:00+0000","PT0S","","0","2","2026-01-25T01:32:11+0000","2026-01-30T23:11:40+0000","1","America/New_York","false","false",,,"list","154","","TASK"
"","Inbox","Find therapist","TEXT","","","N","2026-01-30T16:00:00+0000","2026-01-30T16:00:00+0000","PT0S","","0","2","2026-01-25T01:32:11+0000","2026-01-30T23:11:43+0000","1","America/New_York","false","false",,,"list","155","","TASK"
"","Inbox","Find therapist","TEXT","","","N","2026-01-26T16:00:00+0000","2026-01-26T16:00:00+0000","PT0S","","0","2","2026-01-25T01:32:11+0000","2026-01-26T05:19:36+0000","1","America/New_York","false","false",,,"list","156","","TASK"
